"person_gender","person_education","loan_int_rate","loan_percent_income","credit_score","loan_status"
"female","Master",16.02,0.49,561,1
"female","High School",11.14,0.08,504,0
"female","High School",12.87,0.44,635,1
"female","Bachelor",15.23,0.44,675,1
"male","Master",14.27,0.53,586,1
"female","High School",7.14,0.19,532,1
"female","Bachelor",12.42,0.37,701,1
"female","High School",11.11,0.37,585,1
"female","Associate",8.9,0.35,544,1
"female","High School",14.74,0.13,640,1
"female","High School",10.37,0.34,621,1
"female","Associate",8.63,0.34,651,1
"male","Bachelor",7.9,0.3,573,1
"male","Master",18.39,0.27,708,1
"female","Associate",7.9,0.25,583,0
"female","Master",10.65,0.05,670,0
"male","Bachelor",7.9,0.24,663,0
"female","High School",20,0.31,694,1
"male","Bachelor",18.25,0.26,709,1
"female","Master",10.99,0.12,679,1
"male","Bachelor",7.49,0.18,684,0
"male","High School",16.77,0.21,662,0
"female","Master",17.58,0.43,691,1
"female","Bachelor",7.29,0.11,600,0
"male","Bachelor",14.54,0.35,691,1
"female","High School",12.68,0.4,654,1
"female","Associate",17.74,0.32,626,1
"male","High School",9.32,0.1,607,0
"female","Bachelor",9.99,0.41,700,1
"female","Bachelor",12.84,0.27,553,1
"male","High School",11.12,0.13,589,1
"male","Bachelor",6.62,0.22,586,0
"male","Bachelor",14.17,0.27,681,1
"female","High School",13.85,0.07,567,0
"female","Associate",13.49,0.02,669,0
"male","Associate",7.51,0.17,600,1
"female","Bachelor",18.39,0.51,606,1
"male","High School",14.54,0.38,582,1
"male","Bachelor",16.89,0.33,649,1
"female","High School",11.01,0.35,602,1
"male","Bachelor",17.99,0.4,616,1
"female","High School",12.69,0.17,631,1
"male","Bachelor",7.88,0.06,684,0
"male","High School",19.41,0.07,637,0
"male","Master",10.38,0.03,649,0
"male","Bachelor",15.33,0.07,695,0
"female","Bachelor",16.45,0.05,620,0
"male","Bachelor",7.49,0.31,622,1
"female","High School",12.69,0.37,645,1
"male","Master",6.62,0.28,654,1
"female","Bachelor",11.01,0.32,624,1
"male","High School",18.62,0.32,570,1
"male","Bachelor",15.23,0.27,648,1
"female","Associate",10.65,0.26,652,1
"male","Bachelor",7.9,0.21,559,0
"male","High School",15.96,0.03,623,0
"male","Associate",11.48,0.06,602,0
"male","Bachelor",11.01,0.1,609,0
"male","Master",7.29,0.19,573,0
"male","Associate",11.01,0.11,631,0
"female","Bachelor",5.99,0.19,623,0
"female","Bachelor",11.58,0.04,602,0
"female","High School",11.01,0.03,579,1
"female","Associate",15.7,0.09,582,1
"male","Master",15.99,0.34,700,1
"male","Associate",14.84,0.1,688,0
"male","Bachelor",10.99,0.09,607,0
"female","Bachelor",14.42,0.06,661,0
"male","High School",6.99,0.03,562,0
"female","Bachelor",13.49,0.08,664,0
"male","High School",11.01,0.2,564,1
"male","Associate",11.01,0.41,598,1
"female","High School",13.61,0.2,557,1
"female","Associate",7.9,0.35,677,1
"male","Bachelor",7.49,0.27,690,1
"male","Associate",7.51,0.4,599,1
"male","High School",9.91,0.26,604,1
"female","Bachelor",13.48,0.28,663,1
"male","Bachelor",7.14,0.31,601,1
"male","High School",15.99,0.28,634,1
"male","Bachelor",12.98,0.06,671,0
"male","Bachelor",13.57,0.02,789,0
"female","Bachelor",12.69,0.23,622,0
"male","Associate",8.9,0.21,538,0
"male","Bachelor",11.01,0.17,587,1
"male","Master",11.01,0.21,683,1
"male","Associate",11.11,0.15,634,0
"female","Bachelor",11.01,0.33,690,1
"female","Bachelor",15.68,0.21,518,1
"female","Bachelor",13.06,0.32,583,1
"male","Associate",11.01,0.09,617,0
"male","Associate",15.62,0.3,668,1
"male","Master",13.49,0.27,673,1
"male","High School",11.01,0.3,706,1
"female","High School",11.71,0.34,536,1
"male","Associate",12.69,0.18,557,0
"female","Bachelor",13.57,0.1,689,0
"male","Bachelor",10.99,0.35,681,1
"male","Master",14.27,0.07,623,0
"female","Associate",8.88,0.07,595,0
"male","Bachelor",12.18,0.08,584,0
"male","Bachelor",14.42,0.04,669,1
"male","High School",14.17,0.09,642,0
"female","High School",13.99,0.13,622,0
"male","Associate",10.99,0.25,689,1
"male","High School",5.42,0.12,614,1
"female","Bachelor",13.61,0.11,597,0
"female","Bachelor",12.73,0.48,673,1
"male","Associate",11.01,0.5,625,1
"male","High School",12.87,0.18,603,1
"male","Bachelor",9.91,0.22,589,1
"male","Master",11.49,0.07,670,0
"female","Bachelor",19.91,0.11,637,0
"male","Associate",10.65,0.14,643,1
"male","High School",11.01,0.02,508,0
"male","High School",11.83,0.27,643,1
"male","High School",13.49,0.14,505,1
"male","Bachelor",14.59,0.48,593,1
"female","Master",9.64,0.43,686,1
"female","Associate",14.59,0.22,646,1
"female","Bachelor",11.01,0.28,645,1
"female","Associate",16.35,0.48,697,1
"male","High School",10.99,0.42,648,1
"male","Master",18.67,0.09,640,0
"male","Bachelor",9.32,0.01,681,0
"female","Associate",8.63,0.03,646,0
"male","Bachelor",10.08,0.09,615,0
"male","Associate",11.83,0.41,687,1
"male","High School",7.9,0.41,650,1
"male","Bachelor",5.99,0.41,588,1
"male","Bachelor",15.33,0.46,652,1
"male","High School",11.83,0.41,658,1
"male","High School",10.36,0.41,634,1
"female","High School",12.23,0.41,623,1
"female","Associate",11.11,0.4,635,1
"female","Bachelor",7.9,0.29,531,1
"female","Master",11.58,0.09,665,0
"male","Associate",8.9,0.08,703,0
"female","Associate",16.07,0.1,585,0
"female","Bachelor",14.22,0.08,594,0
"male","Bachelor",14.79,0.14,618,0
"male","High School",7.88,0.05,626,0
"male","High School",13.22,0.39,695,1
"female","Doctorate",11.86,0.44,690,1
"male","Bachelor",13.43,0.39,574,1
"female","High School",15.28,0.43,602,1
"male","Associate",17.93,0.44,679,1
"female","High School",9.25,0.08,615,0
"male","Master",12.98,0.27,601,1
"male","Associate",10.62,0.06,577,0
"female","Associate",11.83,0.09,588,0
"male","Bachelor",18.43,0.43,595,1
"male","High School",11.01,0.37,653,1
"female","Master",11.01,0.38,663,1
"male","Bachelor",11.36,0.38,653,1
"male","Associate",15.65,0.37,598,1
"female","High School",13.22,0.37,630,1
"male","Associate",12.87,0.37,637,1
"male","Associate",13.04,0.08,660,0
"male","Associate",17.58,0.1,639,1
"male","High School",17.04,0.43,626,1
"female","Associate",10.99,0.34,612,1
"male","Bachelor",11.11,0.34,628,1
"female","Master",14.83,0.38,592,1
"male","High School",11.01,0.23,580,1
"male","Bachelor",12.69,0.05,634,0
"male","Associate",13.49,0.05,678,0
"male","High School",14.65,0.07,557,0
"male","Bachelor",16.82,0.38,672,1
"male","Bachelor",12.73,0.34,613,1
"male","High School",10.25,0.34,566,1
"male","Associate",10.99,0.34,718,1
"male","High School",12.73,0.33,484,1
